SRVY_YR,Numeric,4,0,Year of National Health Interview Survey
HHX,String,6,0,Household Number
FMX,String,2,0,Family Number
FPX,String,2,0,Person Number (Within family)
FDRN_FLG,Numeric,1,0,Disability Questions flag
PLAWKNOW,Numeric,1,0,Is - - unable to work NOW due to health problem?
LAHCC9,Numeric,1,0,"Other mental, emotional, or behavioral problem causes limitation"
LAHCA17,Numeric,1,0,Depression/anxiety/emotional problem causes limitation
LAHCA29_,Numeric,1,0,Alcohol/drug/substance abuse problem causes limitation
LAHCA30_,Numeric,1,0,Other mental problem/ADD/bipolar/schizophrenia causes limitation
LATIME17,Numeric,2,0,"Duration of depression, anxiety, or emotional problem: Number of units"
LAUNIT17,Numeric,1,0,"Duration of depression, anxiety, or emotional problem: Time unit"
LADURA17,Numeric,2,0,"Duration of depression, anxiety, or emotional problem (in years)"
LADURB17,Numeric,1,0,"Duration of depression, anxiety, or emotional problem recode 2"
LACHRC17,Numeric,1,0,Depression/anxiety/emotional problem condition status
LATIME29,Numeric,2,0,Duration of alcohol/drug/substance abuse problem: Number of units
LAUNIT29,Numeric,1,0,Duration of alcohol/drug/substance abuse problem: Time unit
LADURA29,Numeric,2,0,Duration of alcohol/drug/substance abuse problem (in years)
LADURB29,Numeric,1,0,Duration of alcohol/drug/substance abuse problem recode 2
LACHRC29,Numeric,1,0,Alcohol/drug/substance abuse problem condition status
LATIME30,Numeric,2,0,Duration of other mental problem/ADD/Bipolar/Schizophrenia: Number of units
LAUNIT30,Numeric,1,0,Duration of other mental problem/ADD/Bipolar/Schizophrenia: Time unit
LADURA30,Numeric,2,0,Duration of other mental problem/ADD/Bipolar/Schizophrenia (in years)
LADURB30,Numeric,1,0,Duration of other mental problem/ADD/Bipolar/Schizophrenia recode 2
LACHRC30,Numeric,1,0,Other mental problem/ADD/Bipolar/Schizophrenia condition status
SSTYPEB,Numeric,1,0,AIDS care
SSTYPEC,Numeric,1,0,Cancer treatment
PLNPAY11,Numeric,1,0,Paid for by self or family (Plan 1)
PLNPAY21,Numeric,1,0,Paid for by employer or union (Plan 1)
PLNPAY31,Numeric,1,0,Paid for by someone outside the household (Plan 1)
PLNPAY41,Numeric,1,0,Paid for by Medicare (Plan 1)
PLNPAY51,Numeric,1,0,Paid for by Medicaid (Plan 1)
PLNPAY61,Numeric,1,0,Paid for by CHIP (Plan 1)
PLNPAY71,Numeric,1,0,Paid for by government program (Plan 1)
PLNPRE1,Numeric,1,0,Premium based on income (Plan 1)
HICOSTR1,Numeric,5,0,Out-of-pocket premium cost (Plan 1)
EMPPAY1,Numeric,1,0,Know how much employer or union pays (Plan 1)
ECOSTR1,Numeric,5,0,Employer premium cost (Plan 1)
EMPCSTP1,Numeric,3,0,Percent employer or union pays (Plan 1)
PLNMGD1,Numeric,1,0,Type of private plan (Plan 1)
HDHP1,Numeric,1,0,High deductible health plan (Plan 1)
HSAHRA1,Numeric,1,0,Health Savings Accounts/Health Reimbursement Accounts (plan 1)
